curriculum_id,entrance_year,course_id,course_category,course_name,course_year,credit_required,credit_elective,course_summary,course_keyword
1,2019,BDS 101,武蔵野BASIS,仏教概説,1,4,0,まず，釈尊の教えが，どのように広がっていったのかを仏教の歴史を辿りながら学修していきます。次に，現代社会における仏教の意義や，現代社会の諸問題における仏教的な視座などについて，具体的な事例に即して学修し，自己の生き方を考えていきます。,仏教・概説・学修・現代社会・釈尊・教え
2,2019,BDS 111,武蔵野BASIS,共⽣社会,1,0,2,,
3,2019,BDS 201,武蔵野BASIS,しあわせを考える,2,0,2,,
4,2019,HPE 101,武蔵野BASIS,健康体育1,1,0,1,,
5,2019,HPE 201,武蔵野BASIS,健康体育2,2,0,1,,
6,2019,HPE 211,武蔵野BASIS,オリンピック・パラリンピック⽂化論,2,0,2,,
7,2019,HPE 112,武蔵野BASIS,⼈⽣の歩き⽅を考える（キャリアデザイン）,1,1,0,,
8,2019,CLT 101,武蔵野BASIS,コンピュータ基礎1,1,1,0,,
9,2019,CLT 102,武蔵野BASIS,コンピュータ基礎2,1,0,1,,
10,2019,CLT 211,武蔵野BASIS,情報分析⼒1,2,0,1,,
11,2019,CLT 212,武蔵野BASIS,情報分析⼒2,2,0,1,,
12,2019,CLT 221,武蔵野BASIS,情報表現⼒1,2,0,1,,
13,2019,CLT 222,武蔵野BASIS,情報表現⼒2,2,0,1,,
14,2019,SIC 103,武蔵野BASIS,情報分析・創出・表現技法,1,0,1,,
15,2019,SIC 104,武蔵野BASIS,プログラミングリテラシー,1,0,1,,
16,2019,SIC 105,武蔵野BASIS,メディアリテラシー,1,0,1,"●授業の背景とねらい：
メディアの発展によって情報の伝達スピードや方法が変化し，わたしたちの生活は便利になる一方で，様々な課題も発生している．そんななか，メディアの利用に関する知識や考え方は，自己防衛だけでなくより良い生活のためにますます重要となっている．
そこで，本科目では，ゲームやwebサイトといったメディアを使ったプロダクトやサービスの作成に取り組みながら，過去・現在のメディアとリテラシーに関する事例や知見だけでなく，AIと倫理など今後の社会に求められる最先端の知見を学ぶ．具体的には，ライブ型授業での解説とグループ活動，オンデマンド型授業をとおして，変化し続ける情報社会において適切にメディアを使うために必要なリテラシーとはどのようなものであるかを考えるとともに，学んだことを授業後の生活に活用することを目指す．

●授業に関連するキーワード：メデイア論，コミュニケーション，認知バイアス，レジリエンス，非認知能力，フィルタバブル，エコーチェンバー，ソーシャルキャピタル，SNS，AI倫理，クリティカル・シンキング，カスタマージャーニーマップ，情報設計，デザイン思考，プロトタイピング

●注意：
※本科目は、武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つですが，コース認定に本科目の修得単位は利用できません．
コースを構成する他の科目を補う内容ですので，コース認定を目指す方は積極的に履修してください．
また，コース全体を履修しなくても本科目を履修することができます．
詳しくは以下のコース説明を参照してください．
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",メディア・リテラシー・コース・授業・メディア・科目・情報
