lec,overvier,keyword
仏教（生き方を考える）基礎,はじめに，学祖高楠順次郎先生の生涯及びその思想を学修し，続けて，学祖の拠り所とした仏教の開祖釈尊（ブッダ）の生涯とその基本的な教義を学修する．学祖と釈尊の尊い生涯は，受講生各人がこれからの生き方を考える上で貴重な指針となることを意図するものである．また，学長（１回），キャリア開発部長（２回）が，本授業の趣旨や学生生活及び社会人としての生き方について講義を行う ,仏教・生き方・基礎・学・祖・生涯・学修・釈尊
仏教概説,まず，釈尊の教えが，どのように広がっていったのかを仏教の歴史を辿りながら学修していきます。次に，現代社会における仏教の意義や，現代社会の諸問題における仏教的な視座などについて，具体的な事例に即して学修し，自己の生き方を考えていきます。 ,仏教・概説・学修・現代社会・釈尊・教え
スポーツと身体科学,"生涯にわたる心身の健康の維持増進に必要な知識と方法を、実技を通して獲得することを目的とする。
本授業は、スケジュール表https://drive.google.com/file/d/11LHv7ezWdhZb3hzQ9wDu7ovQi7yuYqSc/view?usp=sharing
に記載のとおり、前後期共に全14回の授業からなる。
授業の半分（６回）を「身体科学」として、全員が、坐禅、ヨガ、筋力トレーニングを履修する。
残りの半分（8回）は、「スポーツ科学5種目」（バスケットボール、バレーボール、サッカー、テニス、合気道）から1種目を選択して履修する。
従来の「体育」とは一線を画した新しい理念にもとづく本学独自の授業であり、その基本理念と新種目（坐禅、ヨガ、合気道）の目標は、参考URL欄記載のリンク先に詳述されている。
本授業のために、あらたに最新のマシンを揃えたトレーニングジムも開設した。 ",スポーツ・身体・科学・授業・記載・半分・坐禅・ヨガ
フィールド・スポーツ,"自然からの学び、人間としての肉体的精神的学び、自己理解と他者理解、主体的に学ぶことの学び方、デザイン的思考

【1】授業形態について
3つのプログラムがあり(野外、マリン実習、スキー）、すべて宿泊を伴う対面授業を予定している。
※「フィールド・スポーツ」履修登録者に対して、体育センターから追ってプログラム分けに関するMUSCAT案内があるので、必ず確認すること。

【2】参加費用について
実習費用(宿泊費、交通費、保険料、雑費等の実費)が必要である。
＊以下2019年度までの実習費＊
野外：　53,000円(予定)
マリン実習：　50,000円(予定)
スキー：　56,000円(予定)
※次年度よりPCR検査費用が別途必要になる。
※レンタル（服装・用具）については別途必要となる。
※次年度より新型コロナウイルス感染防止対策として移動手段を現地集合現地解散にする予定、よって上記の実習費用から交通費が差し引かれることになる。


【3】コロナ対策について
下記の対策を行う。
・移動については、三密を避けるため現地集合、現地解散。
・宿泊については、1m以上間隔を取ることができるよう部屋の人数を制限する。
・授業参加前に、PCR検査を実施し、陰性の場合のみ参加が可能。
※PCR検査で陽性になった場合は、参加費用の返金を行い、オンラインプログラムへの参加とする。
（履修登録期間を過ぎた、履修削除は基本的に認めない。） ",フィールド・スポーツ・実習・予定・参加・費用・現地
フィールド・スポーツ[野外Ⅰ],"自然からの学び、人間としての肉体的精神的学び、自己理解と他者理解、主体的に学ぶことの学び方、デザイン的思考

【1】授業形態について
3つのプログラムがあり(野外、マリン実習、スキー）、すべて宿泊を伴う対面授業を予定している。
※「フィールド・スポーツ」履修登録者に対して、体育センターから追ってプログラム分けに関するMUSCAT案内があるので、必ず確認すること。

【2】参加費用について
実習費用(宿泊費、交通費、保険料、雑費等の実費)が必要である。
＊以下2019年度までの実習費＊
野外：　53,000円(予定)
マリン実習：　50,000円(予定)
スキー：　56,000円(予定)
※次年度よりPCR検査費用が別途必要になる。
※レンタル（服装・用具）については別途必要となる。
※次年度より新型コロナウイルス感染防止対策として移動手段を現地集合現地解散にする予定、よって上記の実習費用から交通費が差し引かれることになる。


【3】コロナ対策について
下記の対策を行う。
・移動については、三密を避けるため現地集合、現地解散。
・宿泊については、1m以上間隔を取ることができるよう部屋の人数を制限する。
・授業参加前に、PCR検査を実施し、陰性の場合のみ参加が可能。
※PCR検査で陽性になった場合は、参加費用の返金を行い、オンラインプログラムへの参加とする。
（履修登録期間を過ぎた、履修削除は基本的に認めない。） ",フィールド・スポーツ・野外・実習・予定・参加・費用・現地
フィールド・スポーツ[野外Ⅱ],"自然からの学び、人間としての肉体的精神的学び、自己理解と他者理解、主体的に学ぶことの学び方、デザイン的思考

【1】授業形態について
3つのプログラムがあり(野外、マリン実習、スキー）、すべて宿泊を伴う対面授業を予定している。
※「フィールド・スポーツ」履修登録者に対して、体育センターから追ってプログラム分けに関するMUSCAT案内があるので、必ず確認すること。

【2】参加費用について
実習費用(宿泊費、交通費、保険料、雑費等の実費)が必要である。
＊以下2019年度までの実習費＊
野外：　53,000円(予定)
マリン実習：　50,000円(予定)
スキー：　56,000円(予定)
※次年度よりPCR検査費用が別途必要になる。
※レンタル（服装・用具）については別途必要となる。
※次年度より新型コロナウイルス感染防止対策として移動手段を現地集合現地解散にする予定、よって上記の実習費用から交通費が差し引かれることになる。


【3】コロナ対策について
下記の対策を行う。
・移動については、三密を避けるため現地集合、現地解散。
・宿泊については、1m以上間隔を取ることができるよう部屋の人数を制限する。
・授業参加前に、PCR検査を実施し、陰性の場合のみ参加が可能。
※PCR検査で陽性になった場合は、参加費用の返金を行い、オンラインプログラムへの参加とする。
（履修登録期間を過ぎた、履修削除は基本的に認めない。） ",フィールド・スポーツ・野外・実習・予定・参加・費用・現地
フィールド・スポーツ[マリン実習],"自然からの学び、人間としての肉体的精神的学び、自己理解と他者理解、主体的に学ぶことの学び方、デザイン的思考

【1】授業形態について
3つのプログラムがあり(野外、マリン実習、スキー）、すべて宿泊を伴う対面授業を予定している。
※「フィールド・スポーツ」履修登録者に対して、体育センターから追ってプログラム分けに関するMUSCAT案内があるので、必ず確認すること。

【2】参加費用について
実習費用(宿泊費、交通費、保険料、雑費等の実費)が必要である。
＊以下2019年度までの実習費＊
野外：　53,000円(予定)
マリン実習：　50,000円(予定)
スキー：　56,000円(予定)
※次年度よりPCR検査費用が別途必要になる。
※レンタル（服装・用具）については別途必要となる。
※次年度より新型コロナウイルス感染防止対策として移動手段を現地集合現地解散にする予定、よって上記の実習費用から交通費が差し引かれることになる。


【3】コロナ対策について
下記の対策を行う。
・移動については、三密を避けるため現地集合、現地解散。
・宿泊については、1m以上間隔を取ることができるよう部屋の人数を制限する。
・授業参加前に、PCR検査を実施し、陰性の場合のみ参加が可能。
※PCR検査で陽性になった場合は、参加費用の返金を行い、オンラインプログラムへの参加とする。
（履修登録期間を過ぎた、履修削除は基本的に認めない。） ",フィールド・スポーツ・マリン・実習・予定・参加・費用・現地
フィールド・スポーツ[スキーⅠ],"自然からの学び、人間としての肉体的精神的学び、自己理解と他者理解、主体的に学ぶことの学び方、デザイン的思考

【1】授業形態について
3つのプログラムがあり(野外、マリン実習、スキー）、すべて宿泊を伴う対面授業を予定している。
※「フィールド・スポーツ」履修登録者に対して、体育センターから追ってプログラム分けに関するMUSCAT案内があるので、必ず確認すること。

【2】参加費用について
実習費用(宿泊費、交通費、保険料、雑費等の実費)が必要である。
＊以下2019年度までの実習費＊
野外：　53,000円(予定)
マリン実習：　50,000円(予定)
スキー：　56,000円(予定)
※次年度よりPCR検査費用が別途必要になる。
※レンタル（服装・用具）については別途必要となる。
※次年度より新型コロナウイルス感染防止対策として移動手段を現地集合現地解散にする予定、よって上記の実習費用から交通費が差し引かれることになる。


【3】コロナ対策について
下記の対策を行う。
・移動については、三密を避けるため現地集合、現地解散。
・宿泊については、1m以上間隔を取ることができるよう部屋の人数を制限する。
・授業参加前に、PCR検査を実施し、陰性の場合のみ参加が可能。
※PCR検査で陽性になった場合は、参加費用の返金を行い、オンラインプログラムへの参加とする。
（履修登録期間を過ぎた、履修削除は基本的に認めない。） ",フィールド・スポーツ・スキー・実習・予定・参加・費用・現地
フィールド・スポーツ[スキーⅡ],"自然からの学び、人間としての肉体的精神的学び、自己理解と他者理解、主体的に学ぶことの学び方、デザイン的思考

【1】授業形態について
3つのプログラムがあり(野外、マリン実習、スキー）、すべて宿泊を伴う対面授業を予定している。
※「フィールド・スポーツ」履修登録者に対して、体育センターから追ってプログラム分けに関するMUSCAT案内があるので、必ず確認すること。

【2】参加費用について
実習費用(宿泊費、交通費、保険料、雑費等の実費)が必要である。
＊以下2019年度までの実習費＊
野外：　53,000円(予定)
マリン実習：　50,000円(予定)
スキー：　56,000円(予定)
※次年度よりPCR検査費用が別途必要になる。
※レンタル（服装・用具）については別途必要となる。
※次年度より新型コロナウイルス感染防止対策として移動手段を現地集合現地解散にする予定、よって上記の実習費用から交通費が差し引かれることになる。


【3】コロナ対策について
下記の対策を行う。
・移動については、三密を避けるため現地集合、現地解散。
・宿泊については、1m以上間隔を取ることができるよう部屋の人数を制限する。
・授業参加前に、PCR検査を実施し、陰性の場合のみ参加が可能。
※PCR検査で陽性になった場合は、参加費用の返金を行い、オンラインプログラムへの参加とする。
（履修登録期間を過ぎた、履修削除は基本的に認めない。） ",フィールド・スポーツ・スキー・実習・予定・参加・費用・現地
フィールド・スポーツ[スキーⅢ],"※このシラバスは通常の「フィールド・スポーツ」（宿泊を伴う対面授業）に、やむを得ず参加できなかった学生(PCR検査で陽性が出た場合など)向けのシラバスとなります※

【1】授業形態について
3つのプログラムがあり(野外、マリン実習、スキー）、すべてを統合した授業内容として行う。
講義形式　グループワーク　全体共有という流れで1コマを構成しており、自ら主体的に学ぶという学習スタイルを用いている。
「フィールド・スポーツ〔オンライン〕」履修登録者に対して、体育センターから追ってプログラム分けに関するMUSCAT案内があるので、必ず確認すること。

【２】授業日程
12/28　1-4限
12/29　1-4限
1/6　2-4限
1/7　2-4限 ",フィールド・スポーツ・スキー・授業・−4・シラバス
